series_id,series_name,hit,imdb,series_image_url
257246,سرزمین شنی,87,7.6,https://www.namava.ir/Content/Upload/Images/f3630efa-5a0c-4763-88f7-d2645e0df344.jpg
253200,شجاع ترین شوالیه,56,6.1,https://www.namava.ir/Content/Upload/Images/56f7be30-b5b5-41f1-bf4f-1b39f92cbaa3.jpg
255256,کوتلاس,86,8.8,https://www.namava.ir/Content/Upload/Images/7197a697-cb33-434d-979a-78643a7e57ed.jpg
255013,کارما,88,7.5,https://www.namava.ir/Content/Upload/Images/25cf4773-97b9-4558-acab-28fb76df0e03.jpg
254908,این شهر مال ماست,84,8,https://www.namava.ir/Content/Upload/Images/ae0f6570-7b0b-4d8b-a90a-0392c7470b4d.jpg
254696,حیوانات، کاملا شبیه ما هستند,86,7.3,https://www.namava.ir/Content/Upload/Images/9726988d-1a0e-4ddb-bc01-e71ee027de5c.jpg
251378,روزگار ساکاموتو,94,7.4,https://www.namava.ir/Content/Upload/Images/c1e62b18-cdcb-425f-b587-64edf0e3e493.jpg
257156,رابل و دوستان,84,4.6,https://www.namava.ir/Content/Upload/Images/dce445c5-10fa-4b62-b742-9d1fa251895f.jpg
254850,آجر خرسی,64,7.6,https://www.namava.ir/Content/Upload/Images/b009f6d2-83af-4c83-890c-2d5a5e6a95d1.jpg
254993,وثیقه دار,64,7,https://www.namava.ir/Content/Upload/Images/cd10a8dd-3af0-4bbb-bbe3-b423ca0c01d8.jpg
256050,اسرار پنگوئن ها,0,7.6,https://www.namava.ir/Content/Upload/Images/6710042e-2e7a-411b-8ea7-e938682e5f14.jpg
252031,گروه شکار,89,6.6,https://www.namava.ir/Content/Upload/Images/64392275-2158-44f0-b8e6-f2c2aa5b77cb.jpg
252458,خل و چل های عشق هیولا,92,7.7,https://www.namava.ir/Content/Upload/Images/65501f89-900d-4a26-a1f8-c08a8465ed41.jpg
256317,دورا جستجوگر,74,4.4,https://www.namava.ir/Content/Upload/Images/1770fd5a-1798-4bbb-85cc-cfeeb4ef8629.jpg
255254,چهره خندان,82,6.5,https://www.namava.ir/Content/Upload/Images/a8d7cac6-4ae2-4751-8e10-666a6f2c7ec9.jpg
